X,Y,Z,TWT auto,MD,Type,Surface,Well,Interpreter,Used by dep.conv.,Used by geo mod,Zone log,Edited by user,Symbol,Locked to fault
424537.68,6370208.09,295.0,117.91,376.0,Horizon,Seabed,22/19-2,jnasseri,True,True,0.0,False,0,0
434474.9,6370344.99,301.0,103.12,383.01,Horizon,Seabed,22/20-1,jnasseri,True,True,0.0,False,0,0
426909.76,6392021.43,299.0,127.13,381.0,Horizon,Seabed,22/14a-2,jnasseri,True,True,0.0,False,0,0
423256.76,6389768.98,295.0,142.56,401.0,Horizon,Seabed,22/14a-7,jnasseri,True,True,0.0,False,0,0
428227.3,6396945.18,298.0,135.4,407.0,Horizon,Seabed,22/9-1,jnasseri,True,True,0.0,False,0,0
426884.39,6404724.23,296.0,105.99,381.0,Horizon,Seabed,22/9-2,jnasseri,True,True,0.0,False,0,0
416304.98,6404573.35,298.0,104.97,381.0,Horizon,Seabed,22/8a-2,jnasseri,True,True,0.0,False,0,0
409681.72,6398273.32,300.0,95.67,385.0,Horizon,Seabed,22/8a-3,jnasseri,True,True,0.0,False,0,0
420216.2,6405022.0,286.0,99.06,422.0,Horizon,Seabed,22/9-5,jnasseri,True,True,0.0,False,0,0
410901.77,6386170.65,300.99,123.56,387.0,Horizon,Seabed,22/13b-3,jnasseri,True,True,0.0,False,0,0
422230.79,6386254.73,296.0,137.45,377.0,Horizon,Seabed,22/14-1,jnasseri,True,True,0.0,False,0,0
420367.7,6381533.68,299.0,90.7,381.0,Horizon,Seabed,22/14b-4,jnasseri,True,True,0.0,False,0,0
422638.52,6379309.28,290.0,95.77,375.0,Horizon,Seabed,22/14b-3,jnasseri,True,True,0.0,False,0,0
414061.96,6375625.61,294.1,89.18,386.0,Horizon,Seabed,22/13b-9,jnasseri,True,True,0.0,False,0,0
431427.26,6380157.46,281.9,129.31,361.0,Horizon,Seabed,22/15-1,jnasseri,True,True,0.0,False,0,0
432097.09,6388359.04,298.7,127.28,384.0,Horizon,Seabed,22/15-2,jnasseri,True,True,0.0,False,0,0
408612.86,6389648.98,306.0,118.16,436.0,Horizon,Seabed,22/13b-5,jnasseri,True,True,0.0,False,0,0
429432.89,6407621.38,286.98,90.66,364.0,Horizon,Seabed,22/10a-2,jnasseri,True,True,0.0,False,0,0
418040.0,6385474.99,300.0,115.22,390.0,Horizon,Seabed,22/14b-5,jnasseri,True,True,0.0,False,0,0
426909.76,6392021.43,7323.0,2320.09,7405.0,Horizon,Horda Fm,22/14a-2,jnasseri,True,True,1.0,False,0,0
424534.26,6370212.47,7808.59,2480.53,7890.0,Horizon,Horda Fm,22/19-2,jnasseri,True,True,1.0,False,0,0
434460.19,6370351.84,8040.54,2544.97,8123.0,Horizon,Horda Fm,22/20-1,jnasseri,True,True,1.0,False,0,0
428241.09,6396985.76,7277.18,2353.78,7388.0,Horizon,Horda Fm,22/9-1,jnasseri,True,True,1.0,False,0,0
426887.3,6404723.95,6443.9,2062.39,6529.0,Horizon,Horda Fm,22/9-2,jnasseri,True,True,1.0,False,0,0
416304.98,6404573.35,6498.0,2000.54,6581.0,Horizon,Horda Fm,22/8a-2,jnasseri,True,True,1.0,False,0,0
420190.41,6405014.09,7478.83,2339.12,7616.0,Horizon,Horda Fm,22/9-5,jnasseri,True,True,1.0,False,0,0
410760.78,6386096.8,7574.83,2399.54,7746.0,Horizon,Horda Fm,22/13b-3,jnasseri,True,True,1.0,False,0,0
422230.79,6386254.73,7307.0,2318.24,7388.0,Horizon,Horda Fm,22/14-1,jnasseri,True,True,1.0,False,0,0
423270.71,6389777.64,8260.64,2581.62,8367.03,Horizon,Balder Fm,22/14a-7,ahoward,True,True,2.0,False,0,0
414063.34,6375625.33,8349.09,2605.52,8441.03,Horizon,Balder Fm,22/13b-9,ahoward,True,True,2.0,False,0,0
431448.83,6380131.09,8496.54,2647.58,8576.81,Horizon,Balder Fm,22/15-1,ahoward,True,True,2.0,False,0,0
422358.81,6379065.07,8352.66,2617.03,8635.94,Horizon,Balder Fm,22/14b-3,ahoward,True,True,2.0,False,0,0
420382.56,6381544.24,8327.69,2608.99,8410.51,Horizon,Balder Fm,22/14b-4,ahoward,True,True,2.0,False,0,0
410681.65,6386057.09,8347.37,2614.81,8571.99,Horizon,Balder Fm,22/13b-3,ahoward,True,True,2.0,False,0,0
417727.75,6385532.13,8173.44,2549.65,8507.0,Horizon,Balder Fm,22/14b-5,jnasseri,True,True,2.0,False,0,0
422230.79,6386254.73,8222.56,2561.27,8303.56,Horizon,Balder Fm,22/14-1,ahoward,True,True,2.0,False,0,0
426909.76,6392021.43,7835.0,2469.08,7917.0,Horizon,Balder Fm,22/14a-2,jnasseri,True,True,2.0,False,0,0
432135.31,6388348.86,8112.59,2544.8,8211.17,Horizon,Balder Fm,22/15-2,ahoward,True,True,2.0,False,0,0
426891.77,6404725.68,8016.76,2508.41,8102.0,Horizon,Balder Fm,22/9-2,jnasseri,True,True,2.0,False,0,0
409674.12,6398275.26,8266.77,2503.66,8352.0,Horizon,Balder Fm,22/8a-3,jnasseri,True,True,2.0,False,0,0
416304.98,6404573.35,8175.0,2469.29,8258.0,Horizon,Balder Fm,22/8a-2,jnasseri,True,True,2.0,False,0,0
424536.78,6370220.55,8411.92,2642.83,8494.0,Horizon,Balder Fm,22/19-2,jnasseri,True,True,2.0,False,0,0
434454.06,6370357.66,9258.2,2861.99,9341.0,Horizon,Balder Fm,22/20-1,jnasseri,True,True,2.0,False,0,0
428246.82,6396984.17,7982.89,2528.75,8094.0,Horizon,Balder Fm,22/9-1,jnasseri,True,True,2.0,False,0,0
420186.04,6405012.28,8410.69,2589.72,8548.0,Horizon,Balder Fm,22/9-5,jnasseri,True,True,2.0,False,0,0
408634.73,6389609.93,8557.64,2680.29,8701.0,Horizon,Balder Fm,22/13b-5,jnasseri,True,True,2.0,False,0,0
429452.96,6407606.39,7904.17,2483.7,7982.0,Horizon,Balder Fm,22/10a-2,jnasseri,True,True,2.0,False,0,0
426909.76,6392021.43,8077.41,2531.06,8159.41,Horizon,Balder Tuff,22/14a-2,jnasseri,True,True,3.0,False,0,0
428247.43,6396983.83,8051.86,2543.44,8163.0,Horizon,Balder Tuff,22/9-1,jnasseri,True,True,3.0,False,0,0
426891.97,6404725.93,8097.75,2527.62,8183.0,Horizon,Balder Tuff,22/9-2,jnasseri,True,True,3.0,False,0,0
416304.98,6404573.35,8237.0,2484.48,8320.0,Horizon,Balder Tuff,22/8a-2,jnasseri,True,True,3.0,False,0,0
410673.67,6386053.83,8442.25,2636.36,8671.0,Horizon,Balder Tuff,22/13b-3,jnasseri,True,True,3.0,False,0,0
431449.4,6380131.22,8603.71,2671.14,8684.0,Horizon,Balder Tuff,22/15-1,jnasseri,True,True,3.0,False,0,0
432135.45,6388348.82,8182.41,2561.71,8281.0,Horizon,Balder Tuff,22/15-2,jnasseri,True,True,3.0,False,0,0
408633.58,6389611.18,8665.5,2706.43,8809.0,Horizon,Balder Tuff,22/13b-5,jnasseri,True,True,3.0,False,0,0
429453.66,6407606.25,8019.15,2513.73,8097.0,Horizon,Balder Tuff,22/10a-2,jnasseri,True,True,3.0,False,0,0
417724.05,6385532.9,8294.8,2579.02,8629.0,Horizon,Balder Tuff,22/14b-5,jnasseri,True,True,3.0,False,0,0
423270.95,6389777.35,8440.97,2619.33,8547.36,Horizon,Sele Fm,22/14a-7,ahoward,True,True,4.0,False,0,0
414063.32,6375625.34,8602.36,2661.47,8694.3,Horizon,Sele Fm,22/13b-9,ahoward,True,True,4.0,False,0,0
431449.83,6380131.3,8690.21,2689.89,8770.51,Horizon,Sele Fm,22/15-1,ahoward,True,True,4.0,False,0,0
422339.18,6379048.08,8596.44,2673.35,8894.18,Horizon,Sele Fm,22/14b-3,ahoward,True,True,4.0,False,0,0
420385.78,6381544.99,8540.86,2655.3,8623.96,Horizon,Sele Fm,22/14b-4,ahoward,True,True,4.0,False,0,0
410663.99,6386049.57,8597.09,2670.55,8829.75,Horizon,Sele Fm,22/13b-3,ahoward,True,True,4.0,False,0,0
417721.78,6385533.5,8436.9,2610.84,8771.32,Horizon,Sele Fm,22/14b-5,ahoward,True,True,4.0,False,0,0
422230.79,6386254.73,8363.19,2589.82,8444.19,Horizon,Sele Fm,22/14-1,ahoward,True,True,4.0,False,0,0
426909.76,6392021.43,8233.76,2566.56,8315.76,Horizon,Sele Fm,22/14a-2,ahoward,True,True,4.0,False,0,0
432135.59,6388348.79,8278.38,2582.68,8376.97,Horizon,Sele Fm,22/15-2,ahoward,True,True,4.0,False,0,0
426892.07,6404726.14,8170.75,2543.35,8256.0,Horizon,Sele Fm,22/9-2,jnasseri,True,True,4.0,False,0,0
409673.06,6398275.38,8435.73,2542.96,8521.0,Horizon,Sele Fm,22/8a-3,jnasseri,True,True,4.0,False,0,0
416304.98,6404573.35,8326.0,2504.55,8409.0,Horizon,Sele Fm,22/8a-2,jnasseri,True,True,4.0,False,0,0
424539.56,6370229.09,8943.1,2764.53,9026.0,Horizon,Sele Fm,22/19-2,jnasseri,True,True,4.0,False,0,0
434453.28,6370358.58,9487.17,2910.65,9570.0,Horizon,Sele Fm,22/20-1,jnasseri,True,True,4.0,False,0,0
428248.21,6396983.51,8139.81,2563.7,8251.0,Horizon,Sele Fm,22/9-1,jnasseri,True,True,4.0,False,0,0
420185.35,6405012.09,8546.67,2619.49,8684.0,Horizon,Sele Fm,22/9-5,jnasseri,True,True,4.0,False,0,0
408632.51,6389612.34,8767.37,2728.88,8911.0,Horizon,Sele Fm,22/13b-5,jnasseri,True,True,4.0,False,0,0
429453.97,6407606.24,8075.14,2525.09,8153.0,Horizon,Sele Fm,22/10a-2,jnasseri,True,True,4.0,False,0,0
424540.03,6370230.56,9039.57,2784.43,9122.6,Horizon,Top Forties,22/19-2,ahoward,True,True,5.0,False,0,0
420388.6,6381545.06,8713.53,2694.56,8796.88,Horizon,Top Forties,22/14b-4,ahoward,True,True,5.0,False,0,0
422326.82,6379037.38,8755.39,2710.37,9061.94,Horizon,Top Forties,22/14b-3,ahoward,True,True,5.0,False,0,0
417721.26,6385533.42,8630.17,2651.54,8964.61,Horizon,Top Forties,22/14b-5,ahoward,True,True,5.0,False,0,0
422230.79,6386254.73,8618.4,2642.28,8699.4,Horizon,Top Forties,22/14-1,ahoward,True,True,5.0,False,0,0
423271.2,6389777.14,8704.85,2677.21,8811.24,Horizon,Top Forties,22/14a-7,ahoward,True,True,5.0,False,0,0
414063.34,6375625.3,8701.56,2683.85,8793.5,Horizon,Top Forties,22/13b-9,ahoward,True,True,5.0,False,0,0
431450.74,6380131.41,8948.87,2742.63,9029.19,Horizon,Top Forties,22/15-1,ahoward,True,True,5.0,False,0,0
410656.5,6386046.35,8790.41,2713.65,9024.95,Horizon,Top Forties,22/13b-3,ahoward,True,True,5.0,False,0,0
426909.76,6392021.43,8503.96,2626.35,8585.96,Horizon,Top Forties,22/14a-2,ahoward,True,True,5.0,False,0,0
432135.07,6388348.58,8630.81,2662.75,8729.41,Horizon,Top Forties,22/15-2,ahoward,True,True,5.0,False,0,0
426892.23,6404726.52,8428.75,2603.12,8514.0,Horizon,Top Forties,22/9-2,jnasseri,True,True,5.0,False,0,0
409672.26,6398275.35,8574.71,2574.71,8660.0,Horizon,Top Forties,22/8a-3,jnasseri,True,True,5.0,False,0,0
416304.98,6404573.35,8506.0,2547.65,8589.0,Horizon,Top Forties,22/8a-2,jnasseri,True,True,5.0,False,0,0
428250.74,6396982.41,8421.67,2624.51,8533.0,Horizon,Top Forties,22/9-1,jnasseri,True,True,5.0,False,0,0
420184.35,6405011.97,8742.65,2665.01,8880.0,Horizon,Top Forties,22/9-5,jnasseri,True,True,5.0,False,0,0
408630.52,6389614.63,8970.12,2770.71,9114.0,Horizon,Top Forties,22/13b-5,jnasseri,True,True,5.0,False,0,0
431451.56,6380131.62,9380.42,2820.7,9460.75,Horizon,Base Forties,22/15-1,ahoward,True,True,7.0,False,0,0
422293.67,6379009.0,9179.7,2785.44,9509.78,Horizon,Base Forties,22/14b-3,ahoward,True,True,7.0,False,0,0
414063.39,6375625.42,9183.17,2771.57,9275.12,Horizon,Base Forties,22/13b-9,ahoward,True,True,7.0,False,0,0
410641.68,6386042.28,9450.23,2832.93,9686.78,Horizon,Base Forties,22/13b-3,ahoward,True,True,6.0,False,0,0
417721.23,6385533.72,9089.62,2732.56,9424.07,Horizon,Base Forties,22/14b-5,ahoward,True,True,7.0,False,0,0
426909.76,6392021.43,9065.11,2726.4,9147.11,Horizon,Base Forties,22/14a-2,ahoward,True,True,7.0,False,0,0
423271.28,6389777.1,8791.39,2693.17,8897.78,Horizon,Base Forties,22/14a-7,ahoward,True,True,7.0,False,0,0
422230.79,6386254.73,8787.32,2674.89,8868.32,Horizon,Base Forties,22/14-1,ahoward,True,True,7.0,False,0,0
432134.47,6388348.11,8815.62,2697.37,8914.23,Horizon,Base Forties,22/15-2,ahoward,True,True,7.0,False,0,0
420395.68,6381543.64,9257.54,2795.59,9341.41,Horizon,Base Forties,22/14b-4,ahoward,True,True,7.0,False,0,0
424542.1,6370236.45,9428.22,2850.71,9511.79,Horizon,Lista Fm,22/19-2,ahoward,True,True,8.0,False,0,0
420396.11,6381543.54,9290.6,2802.51,9374.5,Horizon,Lista Fm,22/14b-4,ahoward,True,True,8.0,False,0,0
422290.34,6379006.21,9221.08,2792.76,9553.54,Horizon,Lista Fm,22/14b-3,ahoward,True,True,8.0,False,0,0
422230.79,6386254.73,8791.95,2675.78,8872.95,Horizon,Lista Fm,22/14-1,ahoward,True,True,8.0,False,0,0
423271.3,6389777.09,8811.61,2696.96,8918.0,Horizon,Lista Fm,22/14a-7,jnasseri,True,True,8.0,False,0,0
431451.58,6380131.66,9444.8,2832.99,9525.13,Horizon,Lista Fm,22/15-1,ahoward,True,True,8.0,False,0,0
414063.39,6375625.4,9220.1,2778.24,9312.05,Horizon,Lista Fm,22/13b-9,ahoward,True,True,8.0,False,0,0
410644.92,6386042.83,9277.79,2800.23,9514.0,Horizon,Lista Fm,22/13b-3,jnasseri,True,True,8.0,False,0,0
417721.24,6385533.63,9133.64,2740.54,9468.09,Horizon,Lista Fm,22/14b-5,ahoward,True,True,7.0,False,0,0
432134.47,6388348.11,8816.49,2697.52,8915.1,Horizon,Lista Fm,22/15-2,ahoward,True,True,8.0,False,0,0
426909.76,6392021.43,9103.93,2733.26,9185.93,Horizon,Lista Fm,22/14a-2,ahoward,True,True,8.0,False,0,0
434452.81,6370359.06,9628.15,2940.43,9711.0,Horizon,Lista Fm,22/20-1,jnasseri,True,True,8.0,False,0,0
428252.62,6396981.58,8645.56,2674.04,8757.0,Horizon,Lista Fm,22/9-1,jnasseri,True,True,8.0,False,0,0
426892.81,6404727.15,8746.73,2663.17,8832.0,Horizon,Lista Fm,22/9-2,jnasseri,True,True,8.0,False,0,0
416304.98,6404573.35,8818.0,2604.94,8901.0,Horizon,Lista Fm,22/8a-2,jnasseri,True,True,8.0,False,0,0
420181.35,6405011.72,9283.55,2769.66,9421.0,Horizon,Lista Fm,22/9-5,jnasseri,True,True,8.0,False,0,0
408626.8,6389619.78,9360.56,2842.25,9505.0,Horizon,Lista Fm,22/13b-5,jnasseri,True,True,8.0,False,0,0
429455.9,6407606.48,8429.08,2606.54,8507.0,Horizon,Lista Fm,22/10a-2,jnasseri,True,True,8.0,False,0,0
426909.76,6392021.43,9400.0,2787.21,9482.0,Horizon,Andrew Mb,22/14a-2,jnasseri,True,True,9.0,False,0,0
409668.39,6398275.21,9110.55,2661.38,9196.0,Horizon,Andrew Mb,22/8a-3,jnasseri,True,True,9.0,False,0,0
420181.06,6405011.71,9325.54,2777.69,9463.0,Horizon,Andrew Mb,22/9-5,jnasseri,True,True,9.0,False,0,0
420396.93,6381543.37,9352.04,2816.7,9436.0,Horizon,Andrew Mb,22/14b-4,jnasseri,True,True,9.0,False,0,0
422287.25,6379003.65,9259.33,2799.59,9594.0,Horizon,Andrew Mb,22/14b-3,jnasseri,True,True,9.0,False,0,0
424542.41,6370237.16,9476.36,2858.65,9560.0,Horizon,Mey Sst Mb,22/19-2,jnasseri,True,True,10.0,False,0,0
434452.73,6370359.16,9700.15,2955.0,9783.0,Horizon,Mey Sst Mb,22/20-1,jnasseri,True,True,10.0,False,0,0
423271.4,6389777.06,8948.61,2723.04,9055.0,Horizon,Mey Sst Mb,22/14a-7,jnasseri,True,True,10.0,False,0,0
428253.4,6396981.26,8727.52,2690.96,8839.0,Horizon,Mey Sst Mb,22/9-1,jnasseri,True,True,10.0,False,0,0
426893.14,6404727.41,8897.73,2694.56,8983.0,Horizon,Mey Sst Mb,22/9-2,jnasseri,True,True,10.0,False,0,0
416304.98,6404573.35,8864.0,2613.93,8947.0,Horizon,Mey Sst Mb,22/8a-2,jnasseri,True,True,10.0,False,0,0
410643.62,6386042.6,9346.65,2813.17,9583.0,Horizon,Mey Sst Mb,22/13b-3,jnasseri,True,True,10.0,False,0,0
431451.58,6380131.66,9447.67,2833.48,9528.0,Horizon,Mey Sst Mb,22/15-1,jnasseri,True,True,10.0,False,0,0
432134.18,6388347.91,8913.38,2714.49,9012.0,Horizon,Mey Sst Mb,22/15-2,jnasseri,True,True,10.0,False,0,0
408626.59,6389620.12,9386.53,2847.19,9531.0,Horizon,Mey Sst Mb,22/13b-5,jnasseri,True,True,10.0,False,0,0
429456.66,6407606.53,8564.05,2638.78,8642.0,Horizon,Mey Sst Mb,22/10a-2,jnasseri,True,True,10.0,False,0,0
417721.23,6385533.65,9124.55,2738.88,9459.0,Horizon,Mey Sst Mb,22/14b-5,jnasseri,True,True,10.0,False,0,0
429457.64,6407606.79,8790.03,2681.54,8868.0,Horizon,Maureen Fm,22/10a-2,jnasseri,True,True,11.0,False,0,0
409661.64,6398276.94,9814.17,2790.6,9900.0,Horizon,Maureen Fm,22/8a-3,jnasseri,True,True,11.0,False,0,0
416304.98,6404573.35,9563.0,2740.47,9646.0,Horizon,Maureen Fm,22/8a-2,jnasseri,True,True,11.0,False,0,0
426909.76,6392021.43,9662.0,2834.09,9744.0,Horizon,Maureen Fm,22/14a-2,jnasseri,True,True,11.0,False,0,0
424545.25,6370243.59,9915.76,2937.97,10000.0,Horizon,Maureen Fm,22/19-2,jnasseri,True,True,11.0,False,0,0
434451.1,6370361.34,10120.05,3030.24,10203.0,Horizon,Maureen Fm,22/20-1,jnasseri,True,True,11.0,False,0,0
423271.77,6389777.0,9559.6,2830.22,9666.0,Horizon,Maureen Fm,22/14a-7,jnasseri,True,True,11.0,False,0,0
428257.56,6396980.34,9117.26,2765.05,9229.0,Horizon,Maureen Fm,22/9-1,jnasseri,True,True,11.0,False,0,0
426894.64,6404727.6,9465.71,2791.05,9551.0,Horizon,Maureen Fm,22/9-2,jnasseri,True,True,11.0,False,0,0
420179.34,6405011.72,9579.48,2825.37,9717.0,Horizon,Maureen Fm,22/9-5,jnasseri,True,True,11.0,False,0,0
410635.64,6386041.44,9792.87,2893.55,10030.0,Horizon,Maureen Fm,22/13b-3,jnasseri,True,True,11.0,False,0,0
422230.79,6386254.73,9578.0,2817.46,9659.0,Horizon,Maureen Fm,22/14-1,jnasseri,True,True,11.0,False,0,0
420401.09,6381542.45,9636.7,2863.67,9721.0,Horizon,Maureen Fm,22/14b-4,jnasseri,True,True,11.0,False,0,0
422255.59,6378977.98,9640.54,2864.96,9998.0,Horizon,Maureen Fm,22/14b-3,jnasseri,True,True,11.0,False,0,0
414063.2,6375625.21,9591.05,2843.57,9683.0,Horizon,Maureen Fm,22/13b-9,jnasseri,True,True,11.0,False,0,0
431451.81,6380131.26,10001.66,2926.26,10082.0,Horizon,Maureen Fm,22/15-1,jnasseri,True,True,11.0,False,0,0
432132.79,6388347.03,9481.35,2818.96,9580.0,Horizon,Maureen Fm,22/15-2,jnasseri,True,True,11.0,False,0,0
408623.99,6389624.54,9730.12,2909.34,9875.0,Horizon,Maureen Fm,22/13b-5,jnasseri,True,True,11.0,False,0,0
417721.45,6385533.75,9567.53,2821.12,9902.0,Horizon,Maureen Fm,22/14b-5,jnasseri,True,True,11.0,False,0,0
409660.74,6398277.27,9932.13,2808.41,10018.0,Horizon,Top Chalk/Ekofisk Fm,22/8a-3,jnasseri,True,True,12.0,False,0,0
416304.98,6404573.35,9947.0,2805.83,10030.0,Horizon,Top Chalk/Ekofisk Fm,22/8a-2,jnasseri,True,True,12.0,False,0,0
426909.76,6392021.43,9738.0,2846.24,9820.0,Horizon,Top Chalk/Ekofisk Fm,22/14a-2,jnasseri,True,True,12.0,False,0,0
424546.56,6370247.87,10227.41,2988.29,10312.0,Horizon,Top Chalk/Ekofisk Fm,22/19-2,jnasseri,True,True,12.0,False,0,0
434448.86,6370364.82,10572.84,3106.11,10656.0,Horizon,Top Chalk/Ekofisk Fm,22/20-1,jnasseri,True,True,12.0,False,0,0
